ticker,name,sector,cap
HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods,Large
HINDCOPPER.NS,Hindustan Copper Ltd.,Metals & Mining,Small
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Mid
HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,Large
HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining,Large
POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods,Mid
HOMEFIRST.NS,Home First Finance Company India Ltd.,Financial Services,Small
HONASA.NS,Honasa Consumer Ltd.,Fast Moving Consumer Goods,Small
HONAUT.NS,Honeywell Automation India Ltd.,Capital Goods,Mid
HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,Mid
HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components,Large
ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,Large
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services,Mid
ICICIAMC.NS,ICICI Prudential Asset Management Company Ltd.,Financial Services,Mid
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services,Mid
IDBI.NS,IDBI Bank Ltd.,Financial Services,Small
IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,Mid
IFCI.NS,IFCI Ltd.,Financial Services,Small
IIFL.NS,IIFL Finance Ltd.,Financial Services,Small
IRB.NS,IRB Infrastructure Developers Ltd.,Construction,Small
IRCON.NS,IRCON International Ltd.,Construction,Small
ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Services,Mid
ITC.NS,ITC Ltd.,Fast Moving Consumer Goods,Large
ITI.NS,ITI Ltd.,Telecommunication,Small
INDGN.NS,Indegene Ltd.,Healthcare,Small
INDIACEM.NS,India Cements Ltd.,Construction Materials,Small
INDIAMART.NS,Indiamart Intermesh Ltd.,Consumer Services,Small
INDIANB.NS,Indian Bank,Financial Services,Mid
IEX.NS,Indian Energy Exchange Ltd.,Financial Services,Small
INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services,Large
IOC.NS,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,Large
IOB.NS,Indian Overseas Bank,Financial Services,Small
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,Mid
IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services,Large
IREDA.NS,Indian Renewable Energy Development Agency Ltd.,Financial Services,Mid
IGL.NS,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,Small
INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication,Mid
INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,Mid
NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services,Mid
INFY.NS,Infosys Ltd.,Information Technology,Large
INOXWIND.NS,Inox Wind Ltd.,Capital Goods,Small
INTELLECT.NS,Intellect Design Arena Ltd.,Information Technology,Small
INDIGO.NS,InterGlobe Aviation Ltd.,Services,Large
IGIL.NS,International Gemological Institute Ltd.,Services,Small
IKS.NS,Inventurus Knowledge Solutions Ltd.,Information Technology,Small
IPCALAB.NS,Ipca Laboratories Ltd.,Healthcare,Mid
JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,Small
JKCEMENT.NS,J.K. Cement Ltd.,Construction Materials,Mid
JBMA.NS,JBM Auto Ltd.,Automobile and Auto Components,Small
JKTYRE.NS,JK Tyre & Industries Ltd.,Automobile and Auto Components,Small
JMFINANCIL.NS,JM Financial Ltd.,Financial Services,Small
JSWCEMENT.NS,JSW Cement Ltd.,Construction Materials,Small
JSWDULUX.NS,JSW Dulux Ltd.,Consumer Durables,Small
JSWENERGY.NS,JSW Energy Ltd.,Power,Mid
JSWINFRA.NS,JSW Infrastructure Ltd.,Services,Mid
JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining,Large
JAINREC.NS,Jain Resource Recycling Ltd.,Metals & Mining,Small
JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power,Small
J&KBANK.NS,Jammu & Kashmir Bank Ltd.,Financial Services,Small
JINDALSAW.NS,Jindal Saw Ltd.,Capital Goods,Small
JSL.NS,Jindal Stainless Ltd.,Metals & Mining,Mid
JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining,Large
JIOFIN.NS,Jio Financial Services Ltd.,Financial Services,Large
JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services,Mid
JUBLINGREA.NS,Jubilant Ingrevia Ltd.,Chemicals,Small
JUBLPHARMA.NS,Jubilant Pharmova Ltd.,Healthcare,Small
JWL.NS,Jupiter Wagons Ltd.,Capital Goods,Small
JYOTICNC.NS,Jyoti CNC Automation Ltd.,Capital Goods,Small
KPRMILL.NS,K.P.R. Mill Ltd.,Textiles,Mid
KEI.NS,KEI Industries Ltd.,Capital Goods,Mid
KPITTECH.NS,KPIT Technologies Ltd.,Information Technology,Mid
KAJARIACER.NS,Kajaria Ceramics Ltd.,Consumer Durables,Small
KPIL.NS,Kalpataru Projects International Ltd.,Construction,Small
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables,Mid
KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services,Small
KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods,Small
KEC.NS,Kec International Ltd.,Construction,Small
